City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
51,Haines Junction,CA,2022-05-22 04:54:25,60.7522,-137.5108,55.35,28,36,10.36,scattered clouds
52,Bethel,US,2022-05-22 04:54:26,41.3712,-73.414,73.27,85,2,2.77,clear sky
53,Georgetown,MY,2022-05-22 04:50:10,5.4112,100.3354,87.75,73,40,9.22,thunderstorm
54,Vostok,RU,2022-05-22 04:52:58,46.4856,135.8833,48.09,96,100,2.55,overcast clouds
55,Pangai,TO,2022-05-22 04:54:26,-19.8,-174.35,78.26,82,97,15.46,overcast clouds
56,Albany,US,2022-05-22 04:50:19,42.6001,-73.9662,74.88,85,61,2.26,broken clouds
57,Ribeira Grande,PT,2022-05-22 04:54:27,38.5167,-28.7,63.99,94,100,1.83,overcast clouds
58,Severo-Kurilsk,RU,2022-05-22 04:53:58,50.6789,156.125,45.46,91,74,12.06,broken clouds
59,Mendoza,AR,2022-05-22 04:54:28,-32.8908,-68.8272,47.73,66,0,2.3,clear sky
60,Alyangula,AU,2022-05-22 04:54:28,-13.8483,136.4192,84.02,63,37,13.09,scattered clouds
61,Busselton,AU,2022-05-22 04:54:29,-33.65,115.3333,68.23,72,53,24.67,broken clouds
62,Benguela,AO,2022-05-22 04:54:29,-12.5763,13.4055,67.91,79,65,1.48,broken clouds
63,Masindi,UG,2022-05-22 04:54:30,1.6744,31.715,65.26,90,100,1.34,overcast clouds
64,Mozarlandia,BR,2022-05-22 04:54:30,-14.7447,-50.5706,57.09,33,1,3.98,clear sky
65,Kodinsk,RU,2022-05-22 04:54:30,58.6881,99.1844,55.04,46,71,10.02,broken clouds
66,East London,ZA,2022-05-22 04:54:31,-33.0153,27.9116,50.94,87,0,3.44,clear sky
67,Talcahuano,CL,2022-05-22 04:54:31,-36.7167,-73.1167,53.28,94,75,5.75,light rain
68,Ixtapa,MX,2022-05-22 04:54:32,20.7,-105.2,70.56,89,6,2.33,clear sky
69,Bredasdorp,ZA,2022-05-22 04:54:32,-34.5322,20.0403,51.35,84,36,6.26,scattered clouds
70,Chemin Grenier,MU,2022-05-22 04:54:33,-20.4872,57.4656,72.99,72,9,14.29,light rain
71,Kaitangata,NZ,2022-05-22 04:54:33,-46.2817,169.8464,45.28,73,64,13.31,broken clouds
72,Hilo,US,2022-05-22 04:54:14,19.7297,-155.09,83.28,91,67,1.01,broken clouds
73,Sivaki,RU,2022-05-22 04:54:34,52.6333,126.75,61.74,40,100,7.25,overcast clouds
74,Pacific Grove,US,2022-05-22 04:54:34,36.6177,-121.9166,55.2,86,30,5.01,scattered clouds
75,Mvuma,ZW,2022-05-22 04:54:35,-19.2792,30.5283,53.82,95,50,3.4,scattered clouds
76,Boddam,GB,2022-05-22 04:54:35,57.4667,-1.7833,53.44,94,100,19.71,overcast clouds
77,Barrow,US,2022-05-22 04:54:36,71.2906,-156.7887,29.97,84,100,9.66,overcast clouds
78,Fortuna,US,2022-05-22 04:54:36,40.5982,-124.1573,51.93,88,100,11.5,overcast clouds
79,Tuktoyaktuk,CA,2022-05-22 04:54:37,69.4541,-133.0374,24.8,80,75,10.36,broken clouds
80,Jamestown,US,2022-05-22 04:54:29,42.097,-79.2353,64.04,93,40,1.99,scattered clouds
81,Kismayo,SO,2022-05-22 04:54:37,-0.3582,42.5454,81.81,76,72,15.86,broken clouds
82,Upernavik,GL,2022-05-22 04:54:38,72.7868,-56.1549,28.45,87,100,2.53,overcast clouds
83,Vanavara,RU,2022-05-22 04:54:38,60.34,102.2797,45.18,86,100,6.46,overcast clouds
84,Medvedevo,RU,2022-05-22 04:54:39,56.6339,47.804,35.6,71,78,7.36,broken clouds
85,Chokurdakh,RU,2022-05-22 04:54:39,70.6333,147.9167,34.45,100,100,1.77,overcast clouds
86,Portland,US,2022-05-22 04:50:56,45.5234,-122.6762,64.38,63,20,9.22,few clouds
87,Kurume,JP,2022-05-22 04:54:40,33.3167,130.5167,86.97,29,37,1.01,scattered clouds
88,Atambua,ID,2022-05-22 04:54:40,-9.1061,124.8925,84.99,52,15,1.43,few clouds
89,Havoysund,NO,2022-05-22 04:54:41,70.9963,24.6622,43.03,75,100,2.59,overcast clouds
90,Krasnoborsk,RU,2022-05-22 04:54:41,61.5598,45.934,35.1,70,100,9.64,overcast clouds
