City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
429,Cuitlahuac,MX,79.77,broken clouds,18.8167,-96.7167,Empacadora Sierra Madre
438,Artemisa,CU,77.27,broken clouds,22.814,-82.7561,Hotel Moka
444,Kirakira,SB,83.75,few clouds,-10.4544,161.9205,SanBiz Lodge
448,Saint-Leu,RE,76.32,clear sky,-21.15,55.2833,La Caz Oceane
461,Umm Lajj,SA,81.18,clear sky,25.0213,37.2685,Moon light Furnished Units
462,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
464,Bandarbeyla,SO,89.38,overcast clouds,9.4942,50.8122,JABIR HOTEL
466,Kavieng,PG,85.01,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
477,Bathsheba,BB,78.87,broken clouds,13.2167,-59.5167,Atlantis Hotel
479,Honolulu,US,82.22,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
484,Kavaratti,IN,82.67,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
494,Meulaboh,ID,83.84,overcast clouds,4.1363,96.1285,Kost Pria
496,Tual,ID,81.03,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
497,Ler,SS,76.87,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
502,Calella,ES,79.11,overcast clouds,41.618,2.6678,Hotel htop Calella Palace Family & SPA
512,Jeremie,HT,78.39,overcast clouds,18.65,-74.1167,Auberge’Inn
522,Alihe,CN,75.18,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
524,Turayf,SA,80.44,clear sky,31.6725,38.6637,Turaif
526,Acarau,BR,75.04,scattered clouds,-2.8856,-40.12,castelo pizzaria
527,Cairns,AU,86.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
532,Dogondoutchi,NE,86.99,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
533,Nanchang,CN,75.2,overcast clouds,28.6833,115.8833,Ruidu Hotel
534,Sao Jose Da Coroa Grande,BR,76.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
541,Turochak,RU,78.93,overcast clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
545,Najran,SA,85.24,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
546,Faya,SA,75.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
549,Kudahuvadhoo,MV,83.1,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
553,West Bay,KY,81.07,overcast clouds,19.3667,-81.4167,Calypso Cove
555,Uribia,CO,80.89,clear sky,11.7139,-72.266,Hotel Uribia
556,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
557,Kawalu,ID,77.04,overcast clouds,-7.3817,108.2082,West Jontor
564,Mana,GF,76.55,overcast clouds,5.6592,-53.7767,LE SAMANA
565,Vinh,VN,83.64,overcast clouds,18.6667,105.6667,Vuong Hoan 2
569,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
573,Soe,ID,80.55,few clouds,-9.8607,124.284,Dena Hotel
575,Arlit,NE,80.69,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
578,Nichinan,JP,76.19,overcast clouds,31.6,131.3667,Guest House Aki
579,Hami,CN,89.28,few clouds,42.8,93.45,Laoyutang Resort
594,Roswell,US,75.85,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
603,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
606,Morgan City,US,77.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
607,Pasni,PK,84.13,clear sky,25.2631,63.471,Kashmiri Hotal
609,Taunggyi,MM,81.39,broken clouds,20.7833,97.0333,True Treasure Hotel
611,Sorong,ID,82.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
616,Dongsheng,CN,76.08,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
620,Phan Thiet,VN,85.84,overcast clouds,10.9333,108.1,Hotel Saigon-PT
622,Samarai,PG,82.96,broken clouds,-10.6167,150.6667,Nuli Sapi
629,Teluk Nibung,ID,88.88,scattered clouds,3.001,99.8164,Hotel Assyifa
630,El Tigre,VE,76.62,clear sky,8.8875,-64.2454,Hotel Santa Cruz
636,Kendari,ID,85.01,scattered clouds,-3.945,122.4989,Hotel Wixel
637,Polewali,ID,86.88,broken clouds,-3.4324,119.3435,Lilianto Hotel
638,Tura,IN,85.57,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
639,Ust-Koksa,RU,77.81,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
640,Jaffna,LK,85.35,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant (Pvt) Ltd.
644,Fare,PF,80.13,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
645,Makaha,US,82.31,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
647,Manokwari,ID,78.69,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
648,Basco,PH,80.6,broken clouds,20.4487,121.9702,Nathaniel's Lodge
653,Cockburn Town,TC,79.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
656,Manggar,ID,86.79,broken clouds,-2.8833,108.2667,Guest Hotel
660,Iberia,US,76.96,clear sky,29.9502,-91.7507,back to back rv park
661,Tezu,IN,86.43,scattered clouds,27.9167,96.1667,Circuit House
663,Nata,PA,77.59,overcast clouds,8.3333,-80.5167,Rey David
666,Mayo,US,80.76,clear sky,38.8876,-76.5119,Resorts Resource Group International
668,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
672,Nagato,JP,82.2,clear sky,34.3833,131.2,いそう庵
680,Khatima,IN,86.29,overcast clouds,28.9167,79.9667,Hotel Holiday
682,Miri,MY,87.42,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
